ID,Home Team
0,Leinster
1,Munster
2,Ulster
3,Bulls
4,Edinburgh
5,Scarlets
6,Sharks
7,Glasgow Warriors
8,Stormers
9,Ospreys
10,Connacht
11,Cardiff Blues
12,Lions
13,Dragons
14,Benetton
15,Zebre
