,Week,Date,Home Team,Away Team,Spread,Home Points,Away Points,home_turnovers_won,away_turnovers_won,Turnover,home_penalties_conceded,away_penalties_conceded,penalties_conceded,home_yellow_cards,away_yellow_cards,sin_bin
47,4.0,2021-10-10,Wasps,Northampton_Saints,-1.5,26.0,20.0,3.0,5.0,2.0,16.0,15.0,1.0,1.0,,1.0
48,5.0,2021-10-15,Sale_Sharks,Harlequins,0.5,28.0,22.0,10.0,5.0,-5.0,9.0,18.0,-9.0,1.0,,1.0
49,5.0,2021-10-16,Newcastle_Falcons,Bristol_Bears,-4.5,13.0,5.0,8.0,6.0,-2.0,11.0,17.0,-6.0,1.0,,1.0
50,5.0,2021-10-16,Wasps,Exeter_Chiefs,7.5,23.0,27.0,7.0,3.0,-4.0,14.0,10.0,4.0,2.0,,2.0
51,5.0,2021-10-16,Worcester_Warriors,Leicester_Tigers,9.5,3.0,48.0,9.0,3.0,-6.0,10.0,13.0,-3.0,,1.0,-1.0
52,5.0,2021-10-17,Bath_Rugby,Saracens,9.5,17.0,71.0,3.0,6.0,3.0,14.0,13.0,1.0,,,0.0
53,5.0,2021-10-17,London_Irish,Gloucester_Rugby,-2.5,25.0,25.0,7.0,8.0,1.0,10.0,13.0,-3.0,1.0,1.0,0.0
54,6.0,2021-10-22,Northampton_Saints,Worcester_Warriors,-16.5,66.0,10.0,7.0,5.0,-2.0,9.0,10.0,-1.0,0.0,1.0,-1.0
55,6.0,2021-10-23,Exeter_Chiefs,London_Irish,-18.5,21.0,33.0,,,0.0,,,0.0,,,0.0
56,6.0,2021-10-23,Gloucester_Rugby,Newcastle_Falcons,-6.5,29.0,20.0,2.0,5.0,3.0,7.0,15.0,-8.0,,,0.0
57,6.0,2021-10-23,Harlequins,Bath_Rugby,-15.5,31.0,17.0,11.0,5.0,-6.0,7.0,13.0,-6.0,1.0,0.0,1.0
58,6.0,2021-10-23,Leicester_Tigers,Sale_Sharks,-7.5,19.0,11.0,15.0,7.0,-8.0,15.0,15.0,0.0,0.0,0.0,0.0
59,6.0,2021-10-24,Saracens,Wasps,-30.5,56.0,15.0,10.0,9.0,-1.0,6.0,15.0,-9.0,,,0.0
60,7.0,2021-10-29,Gloucester_Rugby,Exeter_Chiefs,1.5,13.0,16.0,10.0,9.0,-1.0,12.0,10.0,2.0,,,0.0
61,7.0,2021-10-30,Bath_Rugby,Wasps,5.5,17.0,27.0,8.0,3.0,-5.0,14.0,9.0,5.0,2.0,1.0,1.0
62,7.0,2021-10-30,London_Irish,Bristol_Bears,-3.5,33.0,45.0,4.0,7.0,3.0,14.0,12.0,2.0,1.0,3.0,-2.0
63,7.0,2021-10-30,Northampton_Saints,Leicester_Tigers,-0.5,26.0,55.0,5.0,8.0,3.0,15.0,14.0,1.0,0.0,2.0,-2.0
64,7.0,2021-10-30,Worcester_Warriors,Sale_Sharks,12.5,27.0,14.0,3.0,4.0,1.0,15.0,9.0,6.0,1.0,0.0,1.0
65,7.0,2021-10-31,Harlequins,Saracens,5.5,22.0,29.0,5.0,7.0,2.0,11.0,10.0,1.0,1.0,0.0,1.0
66,8.0,2021-11-05,Leicester_Tigers,Bath_Rugby,-18.5,40.0,23.0,9.0,6.0,-3.0,12.0,17.0,-5.0,1.0,2.0,-1.0
67,8.0,2021-11-06,Bristol_Bears,Worcester_Warriors,-14.5,27.0,5.0,7.0,3.0,-4.0,11.0,10.0,1.0,,,0.0
68,8.0,2021-11-06,Saracens,London_Irish,-13.5,34.0,34.0,5.0,4.0,-1.0,16.0,13.0,3.0,0.0,1.0,-1.0
69,8.0,2021-11-06,Sale_Sharks,Northampton_Saints,-8.5,30.0,6.0,11.0,2.0,-9.0,13.0,15.0,-2.0,,,0.0
70,8.0,2021-11-06,Exeter_Chiefs,Newcastle_Falcons,-12.5,14.0,15.0,4.0,6.0,2.0,15.0,11.0,4.0,1.0,,1.0
71,8.0,2021-11-07,Wasps,Harlequins,-0.5,16.0,26.0,6.0,7.0,1.0,15.0,7.0,8.0,,,0.0
72,9.0,2021-11-26,Bath_Rugby,Exeter_Chiefs,8.5,16.0,23.0,6.0,6.0,0.0,17.0,8.0,9.0,,,0.0
73,9.0,2021-11-26,Bristol_Bears,Northampton_Saints,-2.5,20.0,36.0,5.0,8.0,3.0,14.0,11.0,3.0,1.0,,1.0
74,9.0,2021-11-26,Wasps,Gloucester_Rugby,-3.5,33.0,35.0,7.0,3.0,-4.0,10.0,13.0,-3.0,0.0,1.0,-1.0
75,9.0,2021-11-27,Harlequins,London_Irish,-7.5,19.0,22.0,6.0,9.0,3.0,12.0,9.0,3.0,,,0.0
76,9.0,2021-11-27,Newcastle_Falcons,Worcester_Warriors,-9.5,24.0,24.0,6.0,4.0,-2.0,4.0,13.0,-9.0,0.0,1.0,-1.0
77,9.0,2021-11-28,Saracens,Sale_Sharks,-8.5,25.0,14.0,11.0,14.0,3.0,12.0,12.0,0.0,0.0,1.0,-1.0
78,10.0,2021-12-03,Gloucester_Rugby,Bristol_Bears,-2.5,27.0,10.0,9.0,7.0,-2.0,12.0,9.0,3.0,0.0,1.0,-1.0
79,10.0,2021-12-04,Exeter_Chiefs,Saracens,-1.0,18.0,15.0,6.0,3.0,-3.0,12.0,12.0,0.0,,,0.0
80,10.0,2021-12-04,London_Irish,Newcastle_Falcons,-7.0,43.0,21.0,4.0,5.0,1.0,9.0,7.0,2.0,,,0.0
81,10.0,2021-12-04,Northampton_Saints,Bath_Rugby,-11.0,40.0,19.0,8.0,12.0,4.0,15.0,9.0,6.0,1.0,1.0,0.0
82,10.0,2021-12-04,Worcester_Warriors,Wasps,1.0,32.0,31.0,4.0,3.0,-1.0,12.0,9.0,3.0,2.0,0.0,2.0
83,10.0,2021-12-05,Leicester_Tigers,Harlequins,-6.0,16.0,14.0,10.0,11.0,1.0,13.0,14.0,-1.0,1.0,1.0,0.0
84,11.0,2021-12-26,Bristol_Bears,Leicester_Tigers,2.5,26.0,28.0,1.0,4.0,3.0,12.0,15.0,-3.0,0.0,1.0,-1.0
85,11.0,2021-12-26,Saracens,Worcester_Warriors,-21.5,61.0,29.0,6.0,3.0,-3.0,9.0,9.0,0.0,,,0.0
86,11.0,2021-12-26,Wasps,London_Irish,-0.5,38.0,30.0,7.0,2.0,-5.0,10.0,13.0,-3.0,1.0,0.0,1.0
87,11.0,2021-12-26,Bath_Rugby,Gloucester_Rugby,4.5,20.0,40.0,6.0,9.0,3.0,13.0,9.0,4.0,2.0,0.0,2.0
88,11.0,2021-12-27,Harlequins,Northampton_Saints,-4.5,41.0,27.0,4.0,6.0,2.0,7.0,17.0,-10.0,1.0,1.0,0.0
89,12.0,2022-01-01,Sale_Sharks,Wasps,-11.5,26.0,18.0,9.0,3.0,-6.0,17.0,12.0,5.0,1.0,,1.0
90,12.0,2022-01-01,Exeter_Chiefs,Bristol_Bears,-8.5,19.0,13.0,5.0,4.0,-1.0,7.0,12.0,-5.0,,,0.0
91,12.0,2022-01-02,Gloucester_Rugby,Harlequins,0.5,17.0,20.0,1.0,13.0,12.0,13.0,10.0,3.0,,2.0,-2.0
92,12.0,2022-01-02,Leicester_Tigers,Newcastle_Falcons,-13.5,31.0,0.0,8.0,5.0,-3.0,5.0,10.0,-5.0,,,0.0
93,12.0,2022-01-02,Northampton_Saints,Saracens,6.5,6.0,30.0,6.0,6.0,0.0,15.0,14.0,1.0,1.0,,1.0
94,13.0,2022-01-07,Bristol_Bears,Sale_Sharks,-1.5,32.0,15.0,4.0,4.0,0.0,5.0,10.0,-5.0,0.0,1.0,-1.0
95,13.0,2022-01-08,Harlequins,Exeter_Chiefs,-2.5,14.0,12.0,6.0,5.0,-1.0,5.0,10.0,-5.0,0.0,1.0,-1.0
