,Unnamed: 0,Week,Date,Home Team,Away Team,Spread,Home Points,Away Points,clean_breaks_home,clean_breaks_away,home_turnovers_conceded,away_turnovers_conceded,turnovers_won_home,turnovers_won_away,home_penalties_conceded,away_penalties_conceded,yellow_card_home,yellow_card_away,Unnamed: 18,Unnamed: 19,Unnamed: 20,sin_bin,penalties_conceded,clean_breaks,Turnover
22,,-3,2021-05-22,Reds,Crusaders,6.5,28.0,63.0,,,,,,,,,,,,,,,0.0,,
23,,-3,2021-05-22,Chiefs,Brumbies,-7.5,40.0,19.0,,,,,,,,,,,,,,,0.0,,
24,,-3,2021-05-22,Blues,Waratahs,-30.5,48.0,21.0,,,,,,,,,,,,,,,0.0,,
25,,-3,2021-05-21,Force,Highlanders,9.5,15.0,25.0,,,,,,,,,,,,,,,0.0,,
26,,-3,2021-05-21,Hurricanes,Rebels,-24.5,35.0,13.0,,,,,,,,,,,,,,,0.0,,
27,,-3,2021-05-21,Moana,Chiefs,38.5,,,,,,,,,,,,,,,,,0.0,,
28,,-3,2021-05-21,Waratahs,Drua,-11.5,,,,,,,,,,,,,,,,,0.0,,
29,,1,2022-02-18,Waratahs,Drua,-11.5,40.0,10.0,5.0,0.0,7.0,20.0,6.0,4.0,21.0,12.0,1.0,1.0,,,,0.0,9.0,-5.0,-15.0
30,,1,2022-02-19,Chiefs,Highlanders,-5.5,26.0,16.0,5.0,2.0,9.0,18.0,3.0,6.0,10.0,11.0,0.0,0.0,,,,0.0,-1.0,-3.0,-6.0
31,,1,2022-02-19,Crusaders,Hurricanes,-7.5,42.0,32.0,5.0,8.0,10.0,13.0,10.0,3.0,14.0,9.0,2.0,1.0,,,,1.0,5.0,3.0,-10.0
32,,1,2022-02-19,Reds,Rebels,-13.5,23.0,5.0,4.0,2.0,12.0,23.0,10.0,3.0,10.0,9.0,1.0,,,,,1.0,1.0,-2.0,-18.0
33,,1,2022-02-20,Brumbies,Force,12.5,29.0,23.0,6.0,1.0,19.0,12.0,9.0,7.0,10.0,11.0,,,,,,0.0,-1.0,-5.0,5.0
34,,2,2022-02-25,Waratahs,Reds,5.5,16.0,20.0,6.0,2.0,19.0,16.0,3.0,8.0,8.0,13.0,,,,,,0.0,-5.0,-4.0,8.0
35,,2,2022-02-26,Brumbies,Drua,-29.0,42.0,3.0,3.0,4.0,12.0,21.0,12.0,3.0,17.0,11.0,0.0,0.0,,,,0.0,6.0,1.0,-18.0
36,,2,2022-02-26,Highlanders,Crusaders,10.5,19.0,34.0,2.0,5.0,10.0,14.0,7.0,7.0,9.0,10.0,,,,,,0.0,-1.0,3.0,-4.0
37,,2,2022-02-26,Rebels,Force,0.5,3.0,28.0,0.0,7.0,15.0,18.0,0.0,5.0,15.0,11.0,3.0,0.0,,,,3.0,4.0,7.0,2.0
38,,2,2022-02-27,Blues,Hurricanes,-7.0,32.0,33.0,9.0,8.0,16.0,19.0,10.0,4.0,7.0,6.0,0.0,0.0,,,,0.0,1.0,-1.0,-9.0
39,,3,2022-03-04,Force,Reds,3.0,16.0,29.0,5.0,4.0,12.0,18.0,4.0,8.0,8.0,15.0,0.0,2.0,,,,-2.0,-7.0,-1.0,-2.0
40,,3,2022-03-04,Moana,Crusaders,46.0,12.0,33.0,6.0,3.0,18.0,20.0,10.0,4.0,11.0,6.0,0.0,0.0,,,,0.0,5.0,-3.0,-8.0
41,,3,2022-03-04,Drua,Rebels,13.5,31.0,26.0,4.0,2.0,18.0,16.0,9.0,6.0,13.0,11.0,1.0,0.0,,,,1.0,2.0,-2.0,-1.0
42,,3,2022-03-05,Blues,Chiefs,-4.5,24.0,22.0,3.0,6.0,11.0,15.0,9.0,6.0,12.0,9.0,1.0,0.0,,,,1.0,3.0,3.0,-7.0
43,,3,2022-03-05,Hurricanes,Highlanders,-7.0,21.0,14.0,5.0,5.0,18.0,22.0,9.0,3.0,12.0,9.0,0.0,0.0,,,,0.0,3.0,0.0,-10.0
44,,3,2022-03-05,Brumbies,Waratahs,-7.5,27.0,20.0,2.0,6.0,14.0,13.0,7.0,8.0,9.0,14.0,0.0,0.0,,,,0.0,-5.0,4.0,2.0
45,,4,2022-03-11,Blues,Highlanders,-11.0,32.0,20.0,8.0,4.0,17.0,11.0,4.0,5.0,18.0,8.0,1.0,0.0,,,,1.0,10.0,-4.0,7.0
46,,4,2022-03-11,Rebels,Brumbies,14.5,17.0,36.0,1.0,6.0,14.0,11.0,1.0,5.0,13.0,14.0,1.0,3.0,,,,-2.0,-1.0,5.0,7.0
47,,4,2022-03-12,Hurricanes,Moana,-15.5,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
48,,4,2022-03-12,Crusaders,Chiefs,-12.5,21.0,24.0,6.0,3.0,12.0,20.0,6.0,4.0,13.0,10.0,0.0,0.0,,,,0.0,3.0,-3.0,-10.0
49,,4,2022-03-12,Reds,Drua,-25.5,33.0,28.0,7.0,7.0,13.0,11.0,8.0,8.0,14.0,10.0,2.0,1.0,,,,1.0,4.0,0.0,2.0
50,,4,2022-03-13,Waratahs,Force,-3.5,22.0,17.0,2.0,6.0,12.0,12.0,8.0,6.0,15.0,15.0,1.0,1.0,,,,0.0,0.0,4.0,-2.0
51,,5,2022-03-18,Highlanders,Moana,-18.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
52,,5,2022-03-18,Brumbies,Reds,-6.0,16.0,12.0,4.0,4.0,8.0,13.0,6.0,5.0,11.0,15.0,1.0,0.0,,,,1.0,-4.0,0.0,-6.0
53,,5,2022-03-19,Drua,Force,7.5,18.0,20.0,6.0,2.0,17.0,12.0,7.0,4.0,11.0,16.0,0.0,1.0,,,,-1.0,-5.0,-4.0,2.0
54,,5,2022-03-19,Crusaders,Blues,-4.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
55,,5,2022-03-19,Waratahs,Rebels,-13.0,24.0,19.0,4.0,4.0,10.0,20.0,7.0,4.0,12.0,12.0,0.0,1.0,,,,-1.0,0.0,0.0,-13.0
56,,5,2022-03-20,Hurricanes,Chiefs,7.5,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
57,,5,2022-03-19,Chiefs,Moana,-21.5,59.0,12.0,9.0,3.0,13.0,11.0,8.0,3.0,4.0,14.0,0.0,1.0,,,,-1.0,-10.0,-6.0,-3.0
58,,6,2022-03-26,Chiefs,Crusaders,0.0,19.0,34.0,5.0,3.0,14.0,19.0,4.0,10.0,8.0,4.0,0.0,0.0,,,,0.0,4.0,-2.0,1.0
59,,6,2022-03-26,Highlanders,Blues,6.5,25.0,32.0,4.0,9.0,16.0,13.0,3.0,8.0,6.0,8.0,0.0,0.0,,,,0.0,-2.0,5.0,8.0
60,,6,2022-03-25,Force,Brumbies,7.0,38.0,39.0,7.0,8.0,14.0,9.0,4.0,7.0,6.0,8.0,0.0,1.0,,,,-1.0,-2.0,1.0,8.0
61,,6,2022-03-25,Rebels,Drua,-2.0,42.0,27.0,5.0,8.0,10.0,18.0,9.0,4.0,12.0,12.0,1.0,0.0,,,,1.0,0.0,3.0,-13.0
62,,6,2022-03-25,Moana,Hurricanes,30.0,24.0,19.0,2.0,4.0,11.0,16.0,11.0,3.0,18.0,11.0,2.0,1.0,,,,1.0,7.0,2.0,-13.0
63,,6,2022-03-26,Reds,Waratahs,-13.5,32.0,20.0,2.0,6.0,6.0,11.0,6.0,3.0,7.0,13.0,2.0,0.0,,,,2.0,-6.0,4.0,-8.0
64,,7,2022-03-29,Moana,Blues,17.5,19.0,32.0,2.0,3.0,8.0,14.0,4.0,5.0,11.0,9.0,0.0,1.0,,,,-1.0,2.0,1.0,-5.0
65,,7,2022-04-01,Crusaders,Highlanders,-16.0,17.0,14.0,1.0,6.0,15.0,9.0,8.0,5.0,10.0,12.0,1.0,0.0,,,,1.0,-2.0,5.0,3.0
66,,7,2022-04-01,Drua,Waratahs,9.0,14.0,38.0,4.0,2.0,13.0,13.0,8.0,7.0,16.0,9.0,2.0,0.0,,,,2.0,7.0,-2.0,-1.0
67,,7,2022-04-02,Blues,Moana,-21.5,46.0,16.0,6.0,1.0,14.0,13.0,7.0,8.0,10.0,15.0,1.0,0.0,,,,1.0,-5.0,-5.0,2.0
68,,7,2022-04-02,Reds,Brumbies,-3.0,21.0,7.0,5.0,1.0,13.0,18.0,9.0,3.0,11.0,11.0,3.0,2.0,,,,1.0,0.0,-4.0,-11.0
