,Week,Date,Home Team,Away Team,Spread,Opening Spread,Totals,home_win,away_win,inter_spread_1,inter_spread_2,inter_spread_3,Home Points,Away Points,clean_breaks_home,clean_breaks_away,turnovers_won_home,turnovers_won_away,home_penalties_conceded,away_penalties_conceded,yellow_card_home,yellow_card_away,penalties_conceded,Turnover,home_turnovers_conceded,away_turnovers_conceded
28,0.0,2023-04-22,Lions,Zebre,-26.5,,,,,,,,,,,,5.0,6.0,,,,,0,1,,
29,0.0,2023-04-22,Dragons,Scarlets,6.5,,,,,,,,,,,,3.0,4.0,,,,,0,1,,
30,0.0,2023-04-22,Bulls,Leinster,-13.5,,,,,,,,,,,,7.0,7.0,,,,,0,0,,
31,0.0,2023-04-22,Sharks,Munster,-5.5,,,,,,,,,,,,1.0,2.0,,,,,0,1,,
32,0.0,2023-04-22,Ospreys,Cardiff Blues,-2.5,,,,,,,,,,,,6.0,5.0,,,,,0,-1,,
33,0.0,2023-04-22,Glasgow Warriors,Connacht,-8.5,,,,,,,,,,,,5.0,5.0,,,,,0,0,,
34,0.0,2023-05-06,Glasgow Warriors,Munster,1.5,,,,,,,,,,,,8.0,12.0,,,,,0,4,,
35,0.0,2023-05-06,Stormers,Bulls,-8.5,,,,,,,,,,,,12.0,3.0,,,,,0,-9,,
36,0.0,2023-05-06,Ulster,Connacht,-10.5,,,,,,,,,,,,7.0,10.0,,,,,0,3,,
37,0.0,2023-05-06,Leinster,Sharks,-18.5,,,,,,,,,,,,5.0,7.0,,,,,0,2,,
38,0.0,2023-05-08,Stormers,Connacht,-10.5,,,,,,,,,,,,3.0,2.0,,,,,0,-1,,
39,0.0,2023-05-08,Leinster,Munster,-9.5,,,,,,,,,,,,10.0,7.0,,,,,0,-3,,
40,0.0,2023-05-21,Stormers,Munster,-5.5,,,,,,,,,,,,8.0,7.0,,,,,0,-1,,
41,1.0,2023-10-21,Zebre,Ulster,16.5,13.5,58.5,7.0,1.1,15.5,,,36.0,40.0,2.0,7.0,2.0,2.0,6.0,12.0,,,-6,0,,
42,1.0,2023-10-21,Connacht,Ospreys,-14.5,-12.5,49.5,1.12,6.0,-13.5,,,34.0,26.0,14.0,3.0,6.0,4.0,10.0,8.0,,,2,-2,,
43,1.0,2023-10-21,Dragons,Edinburgh,3.5,4.5,50.5,2.3,1.61,3.5,,,17.0,22.0,8.0,7.0,5.0,7.0,17.0,9.0,,,8,2,,
44,1.0,2023-10-21,Lions,Stormers,6.5,5.5,53.5,2.75,1.44,6.5,,,33.0,35.0,8.0,6.0,3.0,3.0,10.0,10.0,,,0,0,,
45,1.0,2023-10-21,Cardiff Blues,Benetton,-3.5,-6.5,51.5,1.53,2.5,-3.5,,,22.0,23.0,2.0,6.0,10.0,8.0,9.0,14.0,,,-5,-2,,
46,1.0,2023-10-21,Munster,Sharks,-10.5,-11.5,47.5,1.2,4.5,-10.5,,,34.0,21.0,10.0,9.0,8.0,6.0,5.0,12.0,,,-7,-2,,
47,1.0,2023-10-22,Bulls,Scarlets,-19.5,-14.5,57.5,1.04,10.0,-19.5,,,63.0,21.0,17.0,8.0,5.0,5.0,8.0,9.0,,,-1,0,,
48,1.0,2023-10-22,Glasgow Warriors,Leinster,3.5,3.5,49.5,2.3,1.61,3.5,,,43.0,25.0,15.0,3.0,8.0,5.0,14.0,12.0,,,2,-3,,
49,2.0,2023-10-28,Ospreys,Zebre,-10.5,-13.5,52.5,1.16,5.0,-14.5,-13.5,,34.0,31.0,14.0,6.0,7.0,5.0,5.0,9.0,,,-4,-2,,
50,2.0,2023-10-28,Connacht,Glasgow Warriors,-1.5,-2.5,48.5,1.9,1.9,-2.5,-1.5,,34.0,26.0,7.0,8.0,13.0,7.0,10.0,12.0,,,-2,-6,,
51,2.0,2023-10-28,Stormers,Scarlets,-24.5,-24.5,57.5,1.02,13.0,-24.5,-24.5,,52.0,7.0,17.0,2.0,7.0,4.0,6.0,10.0,,,-4,-3,,
52,2.0,2023-10-28,Leinster,Sharks,-14.5,-17.5,,1.11,6.5,-17.5,-17.5,,34.0,13.0,8.0,8.0,11.0,7.0,7.0,12.0,,,-5,-4,,
53,2.0,2023-10-28,Edinburgh,Lions,-12.5,-11.5,53.5,1.14,5.5,-11.5,-13.5,,17.0,16.0,10.0,3.0,6.0,8.0,11.0,10.0,,,1,2,,
54,2.0,2023-10-29,Benetton,Munster,3.5,3.5,48.5,2.3,1.61,3.5,3.5,,13.0,13.0,4.0,2.0,9.0,4.0,15.0,9.0,,,6,-5,,
55,2.0,2023-10-29,Dragons,Cardiff Blues,1.5,1.5,48.5,2.0,1.8,1.5,2.5,,9.0,16.0,2.0,7.0,2.0,4.0,10.0,9.0,,,1,2,,
56,2.0,2023-10-29,Ulster,Bulls,-5.5,-6.5,51.5,1.44,2.75,-6.5,-5.5,,26.0,19.0,6.0,3.0,5.0,8.0,7.0,14.0,,,-7,3,,
57,3.0,2023-11-03,Glasgow Warriors,Stormers,-8.5,-3.0,44.5,1.3,3.5,-8.5,,,20.0,9.0,6.0,1.0,4.0,5.0,12.0,12.0,,,0,1,,
58,3.0,2023-11-03,Ospreys,Sharks,10.5,7.0,49.5,3.75,1.28,10.5,,,19.0,5.0,3.0,3.0,5.0,3.0,7.0,9.0,,,-2,-2,,
59,3.0,2023-11-04,Zebre,Bulls,15.5,16.0,59.5,6.0,1.12,14.5,,,29.0,54.0,4.0,11.0,6.0,4.0,16.0,6.0,,,10,-2,,
60,3.0,2023-11-04,Leinster,Edinburgh,-10.5,-16.0,47.5,1.22,4.33,-12.5,,,36.0,27.0,9.0,9.0,9.0,8.0,9.0,11.0,,,-2,-1,,
61,3.0,2023-11-04,Scarlets,Cardiff Blues,-1.5,-2.0,46.5,1.72,2.1,-1.5,,,31.0,25.0,3.0,10.0,3.0,4.0,13.0,9.0,,,4,1,,
62,3.0,2023-11-04,Munster,Dragons,-24.5,-17.0,54.5,1.04,10.0,-21.5,,,45.0,14.0,14.0,2.0,6.0,8.0,10.0,4.0,,,6,2,,
63,3.0,2023-11-04,Connacht,Ulster,-8.5,1.0,48.5,1.3,3.5,-7.5,,,22.0,20.0,8.0,5.0,4.0,7.0,8.0,13.0,,,-5,3,,
64,3.0,2023-11-05,Benetton,Lions,-7.5,-6.0,,,,-5.5,,,15.0,10.0,6.0,2.0,12.0,6.0,11.0,10.0,,,1,-6,,
65,4.0,2023-11-10,Zebre,Sharks,6.5,9.5,55.5,2.75,1.44,,,,12.0,10.0,2.0,8.0,7.0,8.0,4.0,15.0,,,-11,1,,
